CCFR,AMFR,OFR,SFR,PFR,Placed
0,0.3454545455,0.5,0.3245614035,0,0
0,0.3454545455,0,0.3245614035,0,0
0.5,0.3924050633,0,0.3245614035,0.5,0
0.25,0.3,0,0.3245614035,0.25,0
0.5,0.3924050633,0.5,0.3245614035,0.5,1
0.75,0.3695652174,0.5,0.3245614035,0.75,1
0,0.3454545455,0.5,0.3245614035,0,0
0,0,0,0.3245614035,0,0
0,0.3454545455,0.4,0.3245614035,0,0
0,0.3695652174,0.4,0.3245614035,0,0
0,0.3454545455,0.4,0.3245614035,0,0
0.5,0.3695652174,0.4,0.3245614035,0.5,1
1,0.3454545455,0.4,0.3245614035,1,1
0.2857142857,0.3,1,0.3245614035,0.2857142857,1
